"","Id","Fecha","Forófito","Latitud","Longitud","Código.SAU","Familia.hospedero","Especie.hospedero","CAP.cm.","Altura..m.","Sitio.de.colecta","Codigo.sitio","Contaminación","Contaminación..PLI.","Distancia.a.la.vía..m.","Tipo.de.vía","Entorno","Id.epifita","Grupo.epifita","Especie.epifita","Especie.código","Altura..m..1","Estrato","Estrato.código","Orientacion","Tamaño..cm","Longitud..cm.","Fenologia","Colectado","Código.muestra","Peso..g.","Susceptibilidad..X.","X.normal","observaciones","X__id"
"1",328,45190,"AM32","6.25536271","-75.57722569","00111010030116","Anacardiaceae","Schinus terebinthifolia","115.5","7","CarlosE","CE","Alta","4.7","6","Flujo alto","Residencias","328","liquen","Flavoparmelia carperata","Li","-","0-2 m ","E1","-","-","-","-","","CEE1Li328","7.48","","","",""
"2",176,45207,"AM29","6.255317558679747","-75.5789677189478","00111010050052","Moraceae","Ficus benjamina","177.5","12","CarlosE","CE","Alta","4.7","6","Flujo alto","Residencias","176","","Pleopeltis macrocarpa","Pl","0.5","0-2 m ","E1","No expuesta a contaminación","35","10","Infértil","","CEE1Pl176","","","","","WSp6NDE5T1doSDVXQz5jbyg4TE8"
"3",177,45207,"AM31","6.25553668","-75.5771687","00111010030108","Anacardiaceae","Schinus terebinthifolia","203.6","10","CarlosE","CE","Alta","4.7","3","Flujo alto","Parqueadero","177","","Rhipsalis baccifera","Rh","1.5","0-2 m ","E1","No expuesta a contaminación","5","80","Infértil","","CEE1Rh177","","","","Joven (A)","ITN2Qz52Q1NQOVE-JTpIOFVJMXc"
"4",172,45207,"AM28","6.25537549","-75.57918314","00111010050031","Fabaceae","Erythrina fusca","262","15","CarlosE","CE","Alta","4.7","6","Flujo alto","Residencias","172","","Tillandsia recurvata","Ti","1.9","0-2 m ","E1","Expuesta a contaminación","5","15","Fértil","","CEE1Ti172","","","","","TGN1KThwdiFhcDUwIVZicl06IUc"
"5",65,45177,"AM12","6.21309232","-75.57684078","00114210040101","Fabaceae","Caesalpinia pluviosa","75.7","8.5","Poblado","Po","Alta","5","4","Flujo alto","MetroCentro comercialQuebrada","65","briofito","briofito","Br","-","0-2 m ","E1","-","-","-","-","","PoE1Br65","7.05","0.000015827","2.24496E-06","","XXVQUyNWM085YnBnKDNITG9JQUE"
"6",324,45190,"AM34","6.25566698","-75.57708974","00111010030059","Anacardiaceae","Schinus terebinthifolia","157","12.5","CarlosE","CE","Alta","4.7","3.5","Flujo alto","Residencias","324","liquen","Flavoparmelia carperata","Li","-","2-4 m","E2","-","-","-","-","","CEE2Li324","7.33","","","",""
"7",210,45207,"AM32","6.25536271","-75.57722569","00111010030116","Anacardiaceae","Schinus terebinthifolia","115.5","7","CarlosE","CE","Alta","4.7","6","Flujo alto","Residencias","210","","Pleopeltis macrocarpa","Pl","2.1","2-4 m","E2","Expuesta a contaminación","30","12","Fértil","","CEE2Pl210","","","","","UHdMaVRQJmt2UHdlR2QpTERVdDg"
"8",109,45177,"AM19","6.21323249","-75.57736545","00114210000588","Rosaceae","Eriobotrya japonica","101.5","6","Poblado","Po","Alta","5","5","Flujo alto","MetroCentro comercialQuebrada","109","","Rhipsalis baccifera","Rh","3","2-4 m","E2","Expuesta a contaminación","8","1.1","Infértil","","PoE2Rh109","","","","Joven (A)","SytdaWJxUlcwbipwT2ImRm8pNXo"
"9",195,45207,"AM32","6.25536271","-75.57722569","00111010030116","Anacardiaceae","Schinus terebinthifolia","115.5","7","CarlosE","CE","Alta","4.7","6","Flujo alto","Residencias","195","","Tillandsia recurvata","Ti","2.14","2-4 m","E2","No expuesta a contaminación","3","10","Fértil","","CEE2Ti195","","","","","WjFsVm47T0NaJm9AW0RiQ2Fwd2Q"
"10",203,45207,"AM33","6.25556401","-75.57715797","00111010030107","Anacardiaceae","Schinus terebinthifolia","133","9","CarlosE","CE","Alta","4.7","3","Flujo alto","Residencias","203","briofito","briofito","Br","-","2-4 m","E2","-","-","-","-","","CEE2Br203","7.67","0.000043673","5.694E-06","","I3FPeFBbaT50Typ4Wj5IXStoQSU"
